base,train_size,baseline,comparison,n_runs_baseline,n_runs_comparison,baseline_escape,comparison_escape,baseline_escape_rate,comparison_escape_rate,baseline_escape_wilson_ci,comparison_escape_wilson_ci,escape_rate_diff,escape_fisher_odds_ratio,escape_fisher_p_value,escape_significant,n_escaped_baseline,n_escaped_comparison,conditional_mean_baseline,conditional_mean_comparison,conditional_status,conditional_baseline_ci,conditional_comparison_ci,conditional_diff,conditional_ci_low,conditional_ci_high,conditional_ci_excludes_zero,conditional_t_stat,conditional_p_value,conditional_significant,conditional_cohens_d,seed_std_pooled,diff_over_noise,n_shared_escaped_seeds,shared_escaped_seeds,paired_status,paired_mean_diff,paired_t_stat,paired_p_value,paired_significant,paired_all_same_sign,all_seed_mean_baseline,all_seed_mean_comparison,all_seed_diff,all_seed_diff_sign_matches_conditional,all_seed_paired_p_value,all_seed_paired_n,p_adjusted_holm,survives_family_correction,paired_note,conditional_note
xlmr,500,her_ikisi,transplant_random_coef,5,5,5/5,5/5,1.0,1.0,"[0.5655175352168251, 1.0]","[0.5655175352168251, 1.0]",0.0,,1.0,False,5,5,0.7261,0.6985,MEASURED,"[0.7078201977737925, 0.7406455805286313]","[0.6882036933835678, 0.7088387303214365]",-0.0276,-0.0462,-0.0067,True,-2.4105,0.04888,True,-1.525,0.0181,1.52,5.0,"[7, 13, 42, 1337, 2024]",MEASURED,-0.0276,-3.1752,0.03369,True,False,0.7261,0.6985,-0.0276,,0.03369,5.0,1.0,False,,
xlmr,500,her_ikisi,turk,5,5,5/5,5/5,1.0,1.0,"[0.5655175352168251, 1.0]","[0.5655175352168251, 1.0]",0.0,,1.0,False,5,5,0.7261,0.8149,MEASURED,"[0.7078201977737925, 0.7406455805286313]","[0.8103612464723933, 0.8193423448210968]",0.0889,0.0736,0.108,True,8.7822,0.0005,True,5.554,0.016,5.55,5.0,"[7, 13, 42, 1337, 2024]",MEASURED,0.0889,8.0807,0.00127,True,True,0.7261,0.8149,0.0889,,0.00127,5.0,0.031,True,,
xlmr,500,her_ikisi,turk_qarisiq,5,5,5/5,5/5,1.0,1.0,"[0.5655175352168251, 1.0]","[0.5655175352168251, 1.0]",0.0,,1.0,False,5,5,0.7261,0.8054,MEASURED,"[0.7078201977737925, 0.7406455805286313]","[0.7988515092235963, 0.8097670361829582]",0.0793,0.0632,0.0987,True,7.7114,0.00068,True,4.877,0.0163,4.88,5.0,"[7, 13, 42, 1337, 2024]",MEASURED,0.0793,7.9643,0.00135,True,True,0.7261,0.8054,0.0793,,0.00135,5.0,0.04148,True,,
xlmr,500,tokenizator,transplant_mean,5,5,5/5,5/5,1.0,1.0,"[0.5655175352168251, 1.0]","[0.5655175352168251, 1.0]",0.0,,1.0,False,5,5,0.7198,0.7421,MEASURED,"[0.7102383864161691, 0.7282869568533369]","[0.7317013493715383, 0.752446392648831]",0.0223,0.0087,0.0366,True,2.7996,0.02342,True,1.771,0.0126,1.77,5.0,"[7, 13, 42, 1337, 2024]",MEASURED,0.0223,6.1649,0.00351,True,True,0.7198,0.7421,0.0223,,0.00351,5.0,1.0,False,,
xlmr,500,tokenizator,transplant_random_coef,5,5,5/5,5/5,1.0,1.0,"[0.5655175352168251, 1.0]","[0.5655175352168251, 1.0]",0.0,,1.0,False,5,5,0.7198,0.6985,MEASURED,"[0.7102383864161691, 0.7282869568533369]","[0.6882036933835678, 0.7088387303214365]",-0.0213,-0.0352,-0.0072,True,-2.6719,0.02855,True,-1.69,0.0126,1.69,5.0,"[7, 13, 42, 1337, 2024]",MEASURED,-0.0213,-12.335,0.00025,True,True,0.7198,0.6985,-0.0213,,0.00025,5.0,1.0,False,,
xlmr,500,tokenizator,turk,5,5,5/5,5/5,1.0,1.0,"[0.5655175352168251, 1.0]","[0.5655175352168251, 1.0]",0.0,,1.0,False,5,5,0.7198,0.8149,MEASURED,"[0.7102383864161691, 0.7282869568533369]","[0.8103612464723933, 0.8193423448210968]",0.0951,0.0854,0.1061,True,16.0119,1e-05,True,10.127,0.0094,10.13,5.0,"[7, 13, 42, 1337, 2024]",MEASURED,0.0951,13.1397,0.00019,True,True,0.7198,0.8149,0.0951,,0.00019,5.0,0.00076,True,,
xlmr,500,tokenizator,turk_qarisiq,5,5,5/5,5/5,1.0,1.0,"[0.5655175352168251, 1.0]","[0.5655175352168251, 1.0]",0.0,,1.0,False,5,5,0.7198,0.8054,MEASURED,"[0.7102383864161691, 0.7282869568533369]","[0.7988515092235963, 0.8097670361829582]",0.0855,0.075,0.0968,True,13.7684,0.0,True,8.708,0.0098,8.71,5.0,"[7, 13, 42, 1337, 2024]",MEASURED,0.0855,13.5124,0.00017,True,True,0.7198,0.8054,0.0855,,0.00017,5.0,0.0,True,,
xlmr,500,transplant_mean,transplant_random_coef,5,5,5/5,5/5,1.0,1.0,"[0.5655175352168251, 1.0]","[0.5655175352168251, 1.0]",0.0,,1.0,False,5,5,0.7421,0.6985,MEASURED,"[0.7317013493715383, 0.752446392648831]","[0.6882036933835678, 0.7088387303214365]",-0.0436,-0.0583,-0.0292,True,-5.2168,0.00081,True,-3.299,0.0132,3.3,5.0,"[7, 13, 42, 1337, 2024]",MEASURED,-0.0436,-11.3518,0.00034,True,True,0.7421,0.6985,-0.0436,,0.00034,5.0,0.0486,True,,
xlmr,500,transplant_mean,turk,5,5,5/5,5/5,1.0,1.0,"[0.5655175352168251, 1.0]","[0.5655175352168251, 1.0]",0.0,,1.0,False,5,5,0.7421,0.8149,MEASURED,"[0.7317013493715383, 0.752446392648831]","[0.8103612464723933, 0.8193423448210968]",0.0729,0.0617,0.084,True,11.3309,5e-05,True,7.166,0.0102,7.17,5.0,"[7, 13, 42, 1337, 2024]",MEASURED,0.0729,9.6919,0.00063,True,True,0.7421,0.8149,0.0729,,0.00063,5.0,0.0033,True,,
xlmr,500,transplant_mean,turk_qarisiq,5,5,5/5,5/5,1.0,1.0,"[0.5655175352168251, 1.0]","[0.5655175352168251, 1.0]",0.0,,1.0,False,5,5,0.7421,0.8054,MEASURED,"[0.7317013493715383, 0.752446392648831]","[0.7988515092235963, 0.8097670361829582]",0.0633,0.0514,0.0746,True,9.469,7e-05,True,5.989,0.0106,5.99,5.0,"[7, 13, 42, 1337, 2024]",MEASURED,0.0633,10.1514,0.00053,True,True,0.7421,0.8054,0.0633,,0.00053,5.0,0.00455,True,,
xlmr,500,transplant_random_coef,turk,5,5,5/5,5/5,1.0,1.0,"[0.5655175352168251, 1.0]","[0.5655175352168251, 1.0]",0.0,,1.0,False,5,5,0.6985,0.8149,MEASURED,"[0.6882036933835678, 0.7088387303214365]","[0.8103612464723933, 0.8193423448210968]",0.1165,0.1053,0.1278,True,17.9888,0.0,True,11.377,0.0102,11.38,5.0,"[7, 13, 42, 1337, 2024]",MEASURED,0.1165,14.7743,0.00012,True,True,0.6985,0.8149,0.1165,,0.00012,5.0,0.0,True,,
xlmr,500,transplant_random_coef,turk_qarisiq,5,5,5/5,5/5,1.0,1.0,"[0.5655175352168251, 1.0]","[0.5655175352168251, 1.0]",0.0,,1.0,False,5,5,0.6985,0.8054,MEASURED,"[0.6882036933835678, 0.7088387303214365]","[0.7988515092235963, 0.8097670361829582]",0.1069,0.0949,0.1186,True,15.8938,0.0,True,10.052,0.0106,10.05,5.0,"[7, 13, 42, 1337, 2024]",MEASURED,0.1069,15.2912,0.00011,True,True,0.6985,0.8054,0.1069,,0.00011,5.0,0.0,True,,
xlmr,500,turk,turk_qarisiq,5,5,5/5,5/5,1.0,1.0,"[0.5655175352168251, 1.0]","[0.5655175352168251, 1.0]",0.0,,1.0,False,5,5,0.8149,0.8054,MEASURED,"[0.8103612464723933, 0.8193423448210968]","[0.7988515092235963, 0.8097670361829582]",-0.0096,-0.017,-0.0028,True,-2.3448,0.04826,True,-1.483,0.0065,1.48,5.0,"[7, 13, 42, 1337, 2024]",MEASURED,-0.0096,-4.7279,0.00912,True,True,0.8149,0.8054,-0.0096,,0.00912,5.0,1.0,False,,
xlmr,2000,baza,her_ikisi,5,5,5/5,5/5,1.0,1.0,"[0.5655175352168251, 1.0]","[0.5655175352168251, 1.0]",0.0,,1.0,False,5,5,0.8277,0.7708,MEASURED,"[0.8228375164502983, 0.8329457589314926]","[0.7664056640954879, 0.7763481661078824]",-0.0569,-0.0639,-0.0496,True,-14.0416,0.0,True,-8.881,0.0064,8.88,5.0,"[7, 13, 42, 1337, 2024]",MEASURED,-0.0569,-11.81,0.00029,True,True,0.8277,0.7708,-0.0569,,0.00029,5.0,0.0,True,,
xlmr,2000,baza,tokenizator,5,5,5/5,5/5,1.0,1.0,"[0.5655175352168251, 1.0]","[0.5655175352168251, 1.0]",0.0,,1.0,False,5,5,0.8277,0.7618,MEASURED,"[0.8228375164502983, 0.8329457589314926]","[0.7545892880356584, 0.7688360457961713]",-0.0659,-0.0746,-0.0571,True,-13.1401,0.0,True,-8.311,0.0079,8.31,5.0,"[7, 13, 42, 1337, 2024]",MEASURED,-0.0659,-19.6127,4e-05,True,True,0.8277,0.7618,-0.0659,,4e-05,5.0,0.0,True,,
